,Nome,Parte edibile,Acqua,Energia,Energia.1,Proteine totali,Proteine animali,Proteine vegetali,Lipidi totali,Lipidi animali,Lipidi vegetali,Lipidi saturi,Acido oleico,Monoinsaturi totali,Acido linoleico,Acido linolenico,Altri polinsaturi,Polinsaturi totali,Colesterolo,Glucidi dispon.,Amido,Glucidi solubili,Fibra alimentare ,Alcool,Fe,Ca,Na,K,P,Zn,B1,B2,Niacina,Vit. C,Vit. B6,Acido Folico,Retinolo equivalenti,Vit. A,b-carotene,Vit. E,Vit. D,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
422,PANE,100,"11,6","111,6","466,8","3,24",0,"3,24","0,08",0,"0,08","0,02","0,008","0,008","0,048","0,004",0,"0,048",0,"25,88","25,64","0,24","1,12",0,"0,68","25,6",266,"64,4",40,"0,32","0,008","0,012","0,56",0,"0,028","11,6",0,0,0,0,0,,,,
423,PANE CONDITO,100,26,284,1188,"13,3",0,"13,3","3,4","1,6","1,8","0,99","1,83","1,91","0,38","0,04","0,03","0,45",7,"56,9","55,7","1,2","7,3",0,"1,4",120,630,110,110,"0,8","0,03","0,08","1,4",0,"0,13",19,0,0,0,"0,62",0,,,,
424,PANE DI GRANO DURO,100,31,245,1025,"10,1",0,"10,1","2,3",0,"2,3","0,41","0,3","0,31","0,85","0,05",0,"0,9",0,"49,1","46,6","2,5","9,8",0,"2,8",23,640,336,257,"3,2","0,34","0,12","4,4",0,"0,33",34,0,0,0,"0,79",0,,,,
425,PANE DI GRANO E SEGALE,100,"38,8",226,946,"6,2",0,"6,2","1,1",0,"1,1","0,15","0,12","0,12","0,46","0,06",0,"0,51",0,"47,7","37,9","9,9","4,6",0,"1,7",17,553,177,127,"3,5","0,14","0,07","1,2",0,"0,09",24,0,0,0,"1,2",0,,,,
426,PANE DI SEGALE,100,"37,4",219,916,"8,3",0,"8,3","1,7",0,"1,7","0,32","0,67","0,68","0,38","0,03",0,"0,41",0,"45,8",44,"1,8","5,8",0,"2,5",80,580,190,160,"1,3","0,29","0,05","2,3",0,"0,09",24,0,0,0,"1,2",0,,,,
427,PANE DI SEGALE BISCOTTATO,100,31,284,1188,"9,4",0,"9,4","3,6",0,"3,6","0,69","1,43","1,44","0,81","0,07",0,"0,88",0,"46,7","43,1","3,7","6,4",0,"3,1",80,725,183,138,"1,3","0,38","0,33","3,8",0,"0,07",39,0,0,0,"0,61",0,,,,
428,PANE DI SOIA,100,31,276,1155,12,0,12,"6,8",0,"6,8","1,04","1,42","1,44","3,43","0,43",0,"3,86",0,"41,7","38,4","3,3","4,5",0,"2,2",61,610,482,234,"1,3","0,32","0,09","1,1",0,"0,19",96,3,0,18,"0,49",0,,,,
429,PANE GRATTUGIATO,100,10,354,1481,"11,6",0,"11,6","1,9",0,"1,9","0,44","0,21","0,21","1,1","0,06",0,"1,16",0,"77,5","74,9","2,6","3,4",0,"2,8",130,760,150,120,"0,9","0,2","0,04","2,1",0,"0,08",25,0,0,0,0,0,,,,
430,PANGRATTATO,100,10,354,1481,"11,6",0,"11,6","1,9",0,"1,9","0,44","0,21","0,21","1,1","0,06",0,"1,16",0,"77,5","74,9","2,6","3,4",0,"2,8",130,760,150,120,"0,9","0,2","0,04","2,1",0,"0,08",25,0,0,0,0,0,,,,
431,PANE INTEGRALE,100,"36,6",243,1017,"7,5",0,"7,5","1,3",0,"1,3","0,3","0,14","0,14","0,75","0,04",0,"0,79",0,"53,8","51,3","2,5","5,7",0,"2,5",25,550,210,180,"1,6","0,1","0,12","2,9",0,"0,12",39,0,0,0,"0,2",0,,,,
432,PANE TIPO 0,100,31,276,1155,"8,1",0,"8,1","0,5",0,"0,5","0,11","0,06","0,06","0,29","0,02",0,"0,31",0,64,62,2,"3,8",0,"0,7",17,640,176,77,"0,9","0,06","0,06","0,8",0,"0,07",29,0,0,0,0,0,,,,
433,PANE TIPO 00,100,58,580,2426,"16,4",0,"16,4","0,8",0,"0,8","0,2","0,08","0,08","0,46","0,02",0,"0,48",0,135,"131,2","3,8",6,0,"1,6",28,1280,352,126,"1,8","0,08","0,12","1,6",0,"0,14",58,0,0,0,0,0,,,,
434,PANE TIPO 1,20,"6,8","53,4","223,4","1,78",0,"1,78","0,12",0,"0,12","0,028","0,014","0,014","0,07","0,004",0,"0,074",0,"12,06","11,62","0,44","0,76",0,"0,28","2,6",133,"32,2","15,4","0,16","0,016","0,014","0,34",0,"0,014","5,8",0,0,0,0,0,,,,
435,PANE TOSTATO,100,"25,4",298,1247,"8,8",0,"8,8","0,5",0,"0,5","0,12","0,06","0,06","0,31","0,02",0,"0,34",0,"69,2",67,"2,2","4,1",0,"0,8",18,692,190,83,1,"0,06","0,06","0,9",0,"0,08",31,0,0,0,0,0,,,,
436,PANETTONE,100,"26,9",334,1397,"6,4","2,4",4,"10,7","10,2","0,5","5,57","2,82","3,19","0,59","0,14","0,01","0,74",112,"56,5","33,6","22,9","2,8",0,3,149,38,234,130,"0,6","0,13","0,11","0,6",0,"0,12",33,112,102,63,"0,62","0,35",,,,
437,PANINI ALL'OLIO,100,"30,8",302,1264,"7,7",0,"7,7","5,8",0,"5,8","0,96","4,06","4,11","0,62","0,06",0,"0,69",0,"58,3","54,1","4,2","3,7",0,"1,8",120,630,110,100,"0,9","0,25","0,08","1,4",0,"0,07",29,0,0,0,0,0,,,,
438,PANNA MAGRA,100,72,206,862,"2,8","2,8",0,20,20,0,"11,7","4,96","5,69","0,38","0,28",0,"0,66",66,"3,9",0,"3,9",0,0,"0,1",87,34,91,59,"0,5","0,03","0,14","0,1",1,"0,05",7,218,200,110,"0,4","0,14",,,,
439,PANNA,100,"64,83333333","278,3333333","1164,666667","2,566666667","2,566666667",0,"28,33333333","28,33333333",0,"16,57333333","7,026666667","8,056666667","0,533333333","0,4",0,"0,933333333","70,33333333","3,5",0,"3,5",0,0,"0,033333333",81,34,97,"60,33333333","0,366666667","0,023333333","0,12","0,033333333",1,"0,043333333",7,"251,3333333","222,6666667","171,3333333","0,706666667","0,193333333",,,,
440,PANNA MAGRA DA CUCINA,100,72,206,862,"2,8","2,8",0,20,20,0,"11,7","4,96","5,69","0,38","0,28",0,"0,66",66,"3,9",0,"3,9",0,0,"0,1",87,34,91,59,"0,5","0,03","0,14","0,1",1,"0,05",7,218,200,110,"0,4","0,14",,,,
441,PANNA DA CUCINA,100,"64,83333333","278,3333333","1164,666667","2,566666667","2,566666667",0,"28,33333333","28,33333333",0,"16,57333333","7,026666667","8,056666667","0,533333333","0,4",0,"0,933333333","70,33333333","3,5",0,"3,5",0,0,"0,033333333",81,34,97,"60,33333333","0,366666667","0,023333333","0,12","0,033333333",1,"0,043333333",7,"251,3333333","222,6666667","171,3333333","0,706666667","0,193333333",,,,
442,PAPAYA,72,"88,5",36,151,"0,5",0,"0,5","0,1",0,"0,1","0,03","0,01","0,03",0,"0,02",0,"0,02",0,"8,8",0,"8,8","2,3",0,"0,5",23,5,200,13,"0,2","0,03","0,04","0,3",60,"0,03",1,135,0,810,"1,12",0,,,,
443,PAPRIKA,100,10,306,1280,"14,8",0,"14,8",13,0,13,"2,11","1,11","1,23","7,45","0,9",0,"8,35",0,"34,8",0,"34,8","20,9",0,"23,6",177,34,2344,345,"4,1","0,64","1,74","15,3",71,"0,28",0,6060,0,36360,"0,8",0,,,,
444,PARMIGIANO,100,"29,5",374,1565,36,36,0,"25,6","25,6",0,"16,89","7,43","8,02","0,34","0,38",0,"0,72",95,0,0,0,0,0,"0,7",1340,446,100,800,4,"0,02","0,11","0,1",0,"0,1",20,154,136,110,"0,78","0,24",,,,
445,PASTA ALL'UOVO FRESCA,100,25,309,1293,"11,8","2,3","9,4","2,8",2,"0,8","0,79","0,82","0,9","0,69","0,03","0,01","0,74",91,"63,2","61,6","1,7","2,9",0,"1,2",24,27,140,169,"0,7","0,22","0,09",1,0,"0,14",27,41,38,15,"0,39","0,32",,,,
446,PASTA ALL'UOVO,100,"12,5",368,1540,13,"2,6","10,4","2,4","1,7","0,7","0,67","0,7","0,77","0,59","0,03","0,01","0,63",94,"78,6","76,6",2,"3,2",0,"2,1",22,17,164,199,"1,3","0,14","0,19","1,2",0,"0,17",32,35,33,12,"0,45","0,37",,,,
447,PASTA DI MANDORLE,100,"6,1",467,1954,8,0,8,"25,8",0,"25,8","2,14","18,19","18,37","4,91","0,14",0,"5,05",0,"54,3",0,"54,3","7,2",0,"2,5",119,4,431,254,"1,6","0,15","0,22","1,1",0,"0,08",24,0,0,0,"11,98",0,,,,
448,PASTA DI OLIVE,100,"52,2",331,1385,"1,4",0,"1,4","34,3",0,"34,3","5,02","24,09","24,41","3,35","0,25",0,"3,6",0,"4,5",0,"4,5","2,2",0,"3,2",63,1175,258,23,"0,4",0,"0,09","1,1",18,"0,02",0,27,0,162,"2,3",0,,,,
449,PASTA DI SEMOLA,100,"12,4",356,1490,"10,8",0,"10,8","0,3",0,"0,3","0,07","0,03","0,03","0,17","0,01",0,"0,18",0,"82,8","80,1","2,7","2,6",0,"1,3",17,5,160,165,"1,5","0,14","0,11",2,0,"0,17",34,0,0,0,0,0,,,,
450,PASTA DI SEMOLA INTEGRALE,100,"10,5",324,1356,"13,4",0,"13,4","2,5",0,"2,5","0,58","0,28","0,28","1,45","0,08",0,"1,53",0,"66,2","62,5","3,7","11,5",0,"3,9",31,130,390,330,3,"0,99","0,11","6,2",0,"0,39",40,0,0,0,0,0,,,,
451,PASTA FROLLA,100,9,480,2008,"7,7","2,2","5,5","24,3","20,6","3,8","10,25","7,76","8,83","2,86","0,29","0,03","3,18",224,"61,3","35,5","25,8","1,7",0,"1,3",32,103,84,154,"0,8","0,15","0,06","0,6",0,"0,11",27,204,196,51,"2,2","0,73",,,,
452,PASTA SFOGLIA,100,"7,7",560,2343,"5,6","0,1","5,5","40,6","26,6",14,"15,77","12,13","16,78","2,87","0,22","1,91",5,15,"45,9",45,"0,9","1,6",0,"1,3",84,460,94,69,"0,5","0,14","0,02",1,0,"0,07",7,180,175,48,"1,95","1,76",,,,
453,PASTI DIETETICI SOSTITUTIVI,100,5,355,1485,26,0,0,"9,4",0,0,2,0,"2,3",0,0,0,"4,5",0,"41,5",0,0,"13,5",0,21,735,500,750,550,12,"1,43","1,34",22,95,"1,69",310,838,419,2514,"10,4",2,,,,
454,PASTICCINI AL COCCO,100,"10,6",404,1690,"3,6","1,6",2,"12,7",0,"12,7","11,24","0,55","0,55","0,14",0,0,"0,14",0,"70,4",0,"70,4","1,8",0,"0,8",7,247,156,43,"0,7","0,01","0,11","0,1",0,"0,1",3,0,0,0,"0,29",0,,,,
455,PASTORELLA,100,"41,3",364,1523,"26,9","26,9",0,"28,5","28,5",0,"17,69","7,8","9,22","0,59","0,42",0,"1,01",117,0,0,0,0,0,"0,6",360,463,69,300,"1,9","0,05","0,36","0,1",0,"0,08",19,293,275,105,"0,24","0,17",,,,
456,PATATE,83,"78,5",85,356,"2,1",0,"2,1",1,0,1,"0,19","0,02","0,03","0,45","0,14",0,"0,59",0,18,"17,6","0,4","1,6",0,"0,6",10,7,570,54,"0,3","0,1","0,04","2,5",15,"0,44",35,3,0,18,"0,06",0,,,,
457,PATATE DOLCI,84,"73,7",87,364,"1,2",0,"1,2","0,3",0,"0,3","0,06","0,01","0,01","0,11","0,02",0,"0,13",0,"21,3","15,6","5,7","2,3",0,"0,7",24,40,370,50,"0,3","0,17",0,"0,5",23,"0,09",17,655,0,3930,"4,56",0,,,,
458,FECOLA DI PATATE,100,"16,1",349,1460,"1,4",0,"1,4",0,0,0,0,0,0,0,0,0,0,0,"91,5","91,5",0,0,0,"0,3",10,31,1580,27,"1,3",0,0,0,0,"0,01",51,0,0,0,"0,26",0,,,,
459,PATATE NOVELLE,96,"81,9",67,280,2,0,2,0,0,0,0,0,0,0,0,0,0,0,"15,8","15,6","0,2","1,4",0,"0,6",10,23,367,54,"0,5","0,12","0,03","2,4",28,"0,44",25,0,0,0,"0,06",0,,,,
460,PATATE IN POLVERE,100,7,318,1331,"9,1",0,"9,1","0,8",0,"0,8","0,19","0,01","0,01","0,48","0,15",0,"0,63",0,"73,2",71,"2,2","16,5",0,"2,4",89,1190,1550,220,"1,1","0,04","0,14","5,6",12,"0,84",13,0,0,0,"0,25",0,,,,
461,PATATINE,100,"1,9",536,2243,7,0,7,"34,6",0,"34,6","10,96","9,51","9,84","11,98","0,19",0,"12,17",0,"51,2","50,5","0,7","4,5",0,"1,6",24,594,1275,165,"1,1","0,17","0,2","3,8",31,"0,66",45,0,0,0,"4,88",0,,,,
462,PECORA,100,57,293,1226,17,17,0,25,25,0,"11,8","8,93","9,23","0,58","0,58",0,"1,16",79,0,0,0,0,0,2,10,100,350,200,2,"0,12","0,1","3,6",0,"0,23",3,12,12,0,"0,07","0,4",,,,
463,PECORINO,100,"32,3",366,1531,"28,5","28,5",0,28,28,0,"17,79","7,22","8,15","0,3","0,32",0,"0,62",104,0,0,0,0,0,"0,7",1160,1890,94,675,"3,5","0,03","0,47","0,2",0,"0,09",7,141,137,24,"0,73","0,5",,,,
464,PECORINO FRESCO,100,42,332,1389,26,26,0,"25,4","25,4",0,"17,72","4,74","5,51","0,39","0,32",0,"0,71",70,0,0,0,0,0,"0,9",470,1084,129,280,2,"0,04","0,21","0,1",0,"0,07",23,116,113,20,"0,37","0,5",,,,
465,PECORINO ROMANO,100,32,379,1586,"28,3","28,3",0,"29,5","29,5",0,"18,74","6,03","7,01","0,31","0,34",0,"0,65",104,0,0,0,0,0,"2,1",1160,1890,94,675,"3,5","0,03","0,47","0,2",0,"0,09",7,141,137,24,"0,73","0,5",,,,
466,PEPE NERO,100,"10,5",255,1067,"10,9",0,"10,9","3,3",0,"3,3","0,98","1,01","1,01","0,97","0,16",0,"1,13",0,"38,3",0,"38,3","26,5",0,"28,9",437,44,1259,173,"1,4","0,11","0,24","1,1",21,"0,34",10,19,0,114,"1,03",0,,,,
467,PEPERONCINI PICCANTI,89,"87,8",25,105,"1,8",0,"1,8","0,5",0,"0,5","0,09","0,03","0,03","0,23","0,05",0,"0,27",0,"3,8","2,3","1,5","1,9",0,"0,5",18,11,395,18,"0,3","0,09","0,23",3,229,"0,25",21,824,0,4944,"0,8",0,,,,
468,PEPERONI DOLCI,82,"92,3",22,92,"0,9",0,"0,9","0,3",0,"0,3","0,05","0,02","0,02","0,14","0,03",0,"0,16",0,"4,2",0,"4,2","1,9",0,"0,7",17,2,210,28,"0,2","0,05","0,07","0,5",151,"0,27",24,139,0,834,"0,65",0,,,,
469,PEPERONI GIALLI,88,93,22,92,"0,9",0,"0,9","0,3",0,"0,3","0,05","0,02","0,02","0,14","0,03",0,"0,17",0,5,"0,1","4,9","0,9",0,"0,7",17,30,117,28,"0,2","0,05","0,07","0,5",151,"0,25",22,139,0,835,"0,6",0,,,,
470,PEPERONI SOTT'ACETO,100,90,15,63,"0,8",0,"0,8","0,6",0,"0,6","0,09","0,04","0,04","0,29","0,03",0,"0,32",0,"1,7","0,4","1,4","1,9",0,"2,6",36,1248,131,20,"0,2","0,03","0,03","0,6",16,"0,18",16,22,0,134,"0,62",0,,,,
471,PERA,91,"85,2",41,172,"0,3",0,"0,3","0,4",0,"0,4","0,02","0,08","0,08","0,09",0,0,"0,09",0,"9,5",0,"9,5","2,8",0,"0,3",6,2,130,11,"0,1","0,01","0,03","0,1",4,"0,02",2,0,0,0,"0,5",0,,,,
472,PESCA,91,"90,7",27,113,"0,8",0,"0,8","0,1",0,"0,1","0,01","0,03","0,03","0,04",0,0,"0,05",0,"6,1",0,"6,1","2,1",0,"0,4",4,3,260,20,"0,1","0,01","0,03","0,5",4,"0,02",3,27,0,162,"0,97",0,,,,
473,PESCA SCIROPPATA,100,74,87,364,"0,4",0,"0,4",0,0,0,0,0,0,0,0,0,0,0,"22,9",0,"22,9",1,0,"0,4",4,1,150,10,0,"0,01","0,02","0,6",4,"0,02",7,42,0,250,"0,89",0,,,,
474,PESCE PERSICO,43,80,75,314,"15,4","15,4",0,"1,5","1,5",0,"0,3","0,11","0,25","0,02","0,02","0,56","0,6",70,0,0,0,0,0,"0,9",80,92,80,200,"1,1","0,07","0,1","2,9",2,"0,12",5,9,9,0,"0,2",0,,,,
475,PESCE SPADA,98,75,109,456,"16,9","16,9",0,"4,2","4,2",0,"1,15","1,14","1,62","0,03","0,19","0,74","0,97",70,1,0,1,0,0,"0,4",4,90,288,263,"0,4","0,04","0,1","3,3",1,"0,33",2,36,36,0,"0,5",11,,,,
476,PICCIONE,"71,5","68,85","162,5","679,5","20,25","20,25",0,9,9,0,"2,355","2,845","3,195","1,235",0,"0,68","1,92","83,5","0,15",0,"0,15",0,0,"1,5",12,51,"248,5",225,"2,7","0,08","0,15","7,5",0,"0,53","5,5",0,0,0,"0,1","0,4",,,,
477,PINOLI,29,"7,3",567,2372,"29,6",0,"29,6","47,8",0,"47,8","7,35","16,88","17,98","19,51","0,62",0,"20,13",0,5,0,5,"1,9",0,2,40,1,780,466,"6,5","0,39","0,25","2,7",0,"0,11",57,9,0,54,"9,5",0,,,,
478,PISELLI,47,"76,1",76,318,7,0,7,"0,2",0,"0,2","0,08","0,06","0,06","0,02",0,0,"0,02",0,"12,4",8,"4,4","5,2",0,"1,8",47,1,202,101,"0,7","0,42","0,18",1,28,"0,12",62,49,0,294,"0,21",0,,,,
479,PISELLI IN SCATOLA,100,76,53,222,"5,8",0,"5,8","0,8",0,"0,8","0,29","0,24","0,24","0,08",0,0,"0,08",0,"6,8","4,8",2,"9,7",0,"1,7",30,306,128,73,"1,1","0,13","0,1","2,1",8,"0,06",20,50,0,300,"0,22",0,,,,
480,PISELLI SECCHI,100,13,306,1280,"21,7",0,"21,7",2,0,2,"0,74","0,58","0,63","0,17","0,05",0,"0,22",0,"53,6","50,7","2,9","15,7",0,"4,5",48,38,990,320,"2,6","0,58","0,15","2,2",4,"0,13",33,10,0,60,0,0,,,,
481,PISTACCHI,100,"35,2",390,1632,"12,8",0,"12,8","32,6",0,"32,6","4,13","21,54",22,"4,73","0,17","0,03","4,93",0,"16,4",5,"11,4","1,5",0,"2,8",65,9,501,164,"1,3","0,5","0,3",1,1,"0,25",58,87,0,522,"5,21",0,,,,
482,PISTACCHI SECCHI,50,"3,9",577,2414,"20,6",0,"20,6","48,4",0,"48,4","6,13","31,98","32,67","7,02","0,25","0,04","7,32",0,14,"4,3","9,7","10,8",0,"6,8",135,6,1093,503,"1,3","0,82","0,17","1,1",7,"0,25",58,23,0,138,"5,21",0,,,,
483,PISTACCHI SALATI,100,"2,1",601,2515,"17,9",0,"17,9","55,4",0,"55,4","7,02","36,61","37,4","8,04","0,29","0,05","8,38",0,"8,2","2,5","5,7","6,1",0,3,110,530,1040,420,"2,2","0,7","0,23","1,7",0,"0,25",58,22,0,130,"4,16",0,,,,
484,PIZZA CON POMODORO,100,"40,5",247,1033,4,0,"3,9",4,0,4,"0,68","2,62","2,64","0,55","0,05",0,"0,6",0,"51,9","35,4","12,6","3,1",0,0,12,210,176,49,"0,7","0,23","0,1","1,9",0,"0,23",62,61,0,363,"1,83",0,,,,
485,PIZZA CON POMODORO E MOZZARELLA,100,"39,3",271,1134,"5,6","2,1","3,4","5,6","2,3","3,3","1,99","2,72","2,84","0,5","0,07",0,"0,56",11,"52,9",40,"12,9","3,8",0,0,12,986,302,48,"1,4","0,2","0,19",0,7,"0,18",52,74,32,256,"1,28","0,02",,,,
486,POLENTA,100,"56,3",183,766,"4,4",0,"4,4","1,4",0,"1,4","0,17","0,31","0,31","0,51","0,09",0,"0,6",0,"40,8",40,"0,8","1,3",0,"0,9",3,1,65,50,"0,5","0,18","0,05",1,0,0,0,34,0,201,0,0,,,,
487,POLLO,68,"68,7",175,732,"19,1","19,1",0,11,11,0,"3,65","4,14","4,95","1,4","0,07","0,18","1,66",81,0,0,0,0,0,"1,5",11,70,260,194,"1,1","0,06","0,16","6,5",0,"0,3",9,0,0,0,"0,15","0,6",,,,
488,POLLO ALI,66,67,193,808,"20,3","20,3",0,"12,4","12,4",0,"4,09","4,68","5,6","1,56","0,09","0,23","1,88",89,0,0,0,0,0,"0,6",6,60,320,180,"0,8","0,12","0,22","8,3",0,"0,38",11,17,17,0,"0,14","0,6",,,,
489,POLLO COSCIA,80,"74,2",130,544,"17,9","17,9",0,"6,5","6,5",0,"2,16","2,45","2,92","0,83","0,04","0,11","0,98",88,0,0,0,0,0,2,18,89,300,192,"1,4","0,08","0,2","4,7",3,"0,23",8,10,10,0,"0,17","0,5",,,,
490,POLLO FEGATINI,100,74,122,510,"20,5","20,5",0,"4,5","4,5",0,"1,4","0,88","0,99","0,49","0,02","0,39","0,91",555,0,0,0,0,0,"4,5",14,76,260,220,"3,7","0,16","1,36","8,2",12,"0,82",995,1087,951,815,"1,17","0,39",,,,
491,POLLO PETTO,100,"75,3",97,406,"22,2","22,2",0,"0,9","0,9",0,"0,25","0,35","0,4","0,14","0,02","0,02","0,17",67,0,0,0,0,0,"1,6",19,72,330,200,"0,7","0,06","0,12",13,0,"0,51",14,0,0,0,"0,13","0,2",,,,
492,POLLO INTERIORA,100,67,196,820,"13,9","13,9",0,"15,6","15,6",0,"4,75","3,32","3,91","2,62","0,1","1,08","3,8",292,"0,1",0,"0,1",0,0,3,14,82,250,230,"2,8","0,25","0,36","4,6",12,"0,29",530,5500,5500,0,"0,71","0,6",,,,
493,POLPO,90,82,57,238,"10,6","10,6",0,1,1,0,"0,23","0,06","0,16","0,01",0,"0,23","0,24",140,"1,4",0,0,0,0,0,144,230,350,189,"1,7","0,03","0,04","2,1",0,"0,36",16,25,25,0,"1,2",0,,,,
494,POMODORI,100,94,19,79,1,0,1,"0,2",0,"0,2","0,03","0,03","0,03","0,08",0,0,"0,08",0,"3,5",0,"3,5","0,9",0,"0,3",9,6,297,25,"0,2","0,02",0,"0,8",25,"0,12",15,135,0,810,"1,06",0,,,,
495,POMODORI PELATI,100,"94,7",21,88,"1,2",0,"1,2","0,5",0,"0,5","0,07","0,08","0,08","0,2","0,01",0,"0,21",0,3,0,3,"0,9",0,"0,2",9,9,230,24,"0,3",0,0,"0,8",18,"0,1",10,80,0,480,"1,08",0,,,,
496,POMODORI SECCHI,100,"14,6",258,1079,"14,1",0,"14,1",3,0,3,"0,43","0,48","0,49","1,1","0,01",0,"1,12",0,"43,5",0,"43,5","12,3",0,"9,1",110,2,3,356,2,"0,53","0,49","9,1",39,"0,33",68,87,0,522,"0,01",0,,,,
497,POMODORI SOTT'OLIO,100,"53,8",213,891,"5,1",0,"5,1","14,1",0,"14,1","1,89","8,53","8,66","1,98","0,08",0,"2,06",0,"17,5",0,"17,5","5,8",0,"2,7",47,266,1565,139,"0,8","0,19","0,38","3,6",102,"0,32",23,129,0,774,"1,93",0,,,,
498,POMODORO CONCENTRATO,100,"78,5","60,5",253,"2,65",0,"2,65","0,5",0,"0,5","0,075","0,075","0,075","0,195","0,01",0,"0,2",0,"13,9",0,"13,9","2,4",0,"1,3",28,"87,5",219,"41,5","0,75","0,155","0,125","2,5",35,"0,44",54,"1791,5",0,10750,"5,37",0,,,,
499,CONCENTRATO DI POMODORO,100,"78,5","60,5",253,"2,65",0,"2,65","0,5",0,"0,5","0,075","0,075","0,075","0,195","0,01",0,"0,2",0,"13,9",0,"13,9","2,4",0,"1,3",28,"87,5",219,"41,5","0,75","0,155","0,125","2,5",35,"0,44",54,"1791,5",0,10750,"5,37",0,,,,
500,POMODORO CONSERVA,100,70,96,402,"3,9",0,"3,9","0,4",0,"0,4","0,06","0,06","0,06","0,16","0,01",0,"0,16",0,"20,4",0,"20,4",2,0,"2,2",27,20,250,85,"0,7","0,2","0,1","3,1",43,"0,44",54,217,0,1300,"5,37",0,,,,
501,PASSATA DI POMODORO,100,70,96,402,"3,9",0,"3,9","0,4",0,"0,4","0,06","0,06","0,06","0,16","0,01",0,"0,16",0,"20,4",0,"20,4",2,0,"2,2",27,20,250,85,"0,7","0,2","0,1","3,1",43,"0,44",54,217,0,1300,"5,37",0,,,,
502,SALSA DI POMODORO,100,70,96,402,"3,9",0,"3,9","0,4",0,"0,4","0,06","0,06","0,06","0,16","0,01",0,"0,16",0,"20,4",0,"20,4",2,0,"2,2",27,20,250,85,"0,7","0,2","0,1","3,1",43,"0,44",54,217,0,1300,"5,37",0,,,,
503,POMPELMO,70,"91,2",26,109,"0,6",0,"0,6",0,0,0,0,0,0,0,0,0,0,0,"6,2",0,"6,2","1,6",0,"0,3",17,1,230,16,"0,1","0,05","0,03","0,2",40,"0,02",21,0,0,0,"0,15",0,,,,
504,POMPELMO ROSA,70,"91,4",30,126,"0,6",0,"0,6","0,1",0,"0,1","0,01","0,01","0,01","0,02","0,01",0,"0,02",0,"7,7",0,"7,7","1,6",0,"0,1",11,0,129,9,"0,1","0,03","0,02","0,2",38,"0,04",12,26,0,156,"0,19",0,,,,
505,POP CORN,100,4,383,1602,"12,7",0,"12,7",5,0,5,"0,68","1,31","1,31","2,19","0,07",0,"2,26",0,"76,7","75,1","1,6","2,2",0,"2,7",11,4,301,281,"3,4","0,2","0,12","2,2",0,"0,25",23,3,0,18,"0,12",0,,,,
506,PORRI,77,"87,8",29,121,"2,1",0,"2,1","0,1",0,"0,1","0,01",0,0,"0,02","0,03",0,"0,05",0,"5,2",0,"5,2","2,9",0,"0,8",54,9,310,57,"0,2","0,06","0,08","0,5",9,"0,64",74,0,0,0,"1,22",0,,,,
507,PORTO,100,"71,1",157,657,"0,1",0,"0,1",0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,"15,9","0,4",4,4,97,12,0,0,"0,01","0,1",0,"0,01",0,0,0,0,0,0,,,,
508,PREZZEMOLO,80,"87,2",20,84,"3,7",0,"3,7","0,6",0,"0,6","0,1","0,22","0,22","0,09","0,01",0,"0,1",0,0,0,0,"5,6",0,"4,2",220,20,670,75,"0,9","0,1","0,21","0,6",162,"0,07",129,943,0,5658,"1,29",0,,,,
509,PROSCIUTTO COTTO,100,"62,2",215,900,"19,8","19,8",0,"14,7","14,7",0,"5,1","5,17","6,05","1,89","0,16","0,4","2,45",62,"0,9",0,"0,9",0,0,"1,9",17,1734,608,250,"6,9","0,4","0,15","3,2",0,"0,22",0,0,0,0,"0,08",0,,,,
510,PROSCIUTTO COTTO AFFUMICATO,100,"62,2",215,900,"19,8","19,8",0,"14,7","14,7",0,"5,1","5,17","6,05","1,89","0,16","0,4","2,45",62,"0,9",0,"0,9",0,0,"1,9",17,1734,608,250,"6,9","0,4","0,15","3,2",0,"0,22",0,0,0,0,"0,08",0,,,,
511,PROSCIUTTO COTTO MAGRO,100,"69,7",132,552,"22,2","22,2",0,"4,4","4,4",0,"1,53","1,55","1,81","0,57","0,05","0,12","0,73",62,1,0,1,0,0,"1,5",14,1390,587,200,"6,5","0,52","0,25","2,6",0,"0,22",0,0,0,0,"0,05",0,,,,
512,PROSCIUTTO CRUDO,100,"41,7",370,1548,"22,2","22,2",0,"31,2","31,2",0,"10,25","12,67","13,93","3,1","0,29","0,46","3,85",92,0,0,0,0,0,"1,2",20,2378,281,177,"5,2","0,91","0,26",5,0,"0,62",1,0,0,0,"0,11","0,9",,,,
513,PROSCIUTTO CRUDO AFFUMICATO,100,"54,8",218,912,"28,6","28,6",0,"11,5","11,5",0,"3,78","4,67","5,13","1,14","0,11","0,17","1,42",66,0,0,0,0,0,"2,2",23,2733,373,190,"5,2","0,58","0,25","6,5",0,"0,62",1,0,0,0,"0,11","0,9",,,,
514,PROSCIUTTO CRUDO MAGRO,100,"54,8",218,912,"28,6","28,6",0,"11,5","11,5",0,"3,78","4,67","5,13","1,14","0,11","0,17","1,42",66,0,0,0,0,0,"2,2",23,2733,373,190,"5,2","0,58","0,25","6,5",0,"0,62",1,0,0,0,"0,11","0,9",,,,
