,Nome,Parte edibile,Acqua,Energia,Energia.1,Proteine totali,Proteine animali,Proteine vegetali,Lipidi totali,Lipidi animali,Lipidi vegetali,Lipidi saturi,Acido oleico,Monoinsaturi totali,Acido linoleico,Acido linolenico,Altri polinsaturi,Polinsaturi totali,Colesterolo,Glucidi dispon.,Amido,Glucidi solubili,Fibra alimentare ,Alcool,Fe,Ca,Na,K,P,Zn,B1,B2,Niacina,Vit. C,Vit. B6,Acido Folico,Retinolo equivalenti,Vit. A,b-carotene,Vit. E,Vit. D,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
358,MENTA,100,"48,85",161,"673,5","14,3",0,"14,3","2,65",0,"2,65","0,44","0,975","1,01","0,405","0,035",0,"0,435",0,"19,95",0,"19,95","25,15",0,"7,85",790,"56,5",980,"282,5","2,35","0,12","0,33","1,1","15,5","0,235",110,464,0,2785,5,0,,,,
359,MERENDINE AL CIOCCOLATO,100,23,352,1473,"6,5","3,6","2,9","9,5","6,8","2,7","3,78","3,35","3,73","1,33","0,1","0,01","1,44",46,60,26,34,"2,8",0,"2,2",43,157,200,122,"0,7","0,03","0,13","0,6",0,"0,03",8,28,26,11,"1,41","0,25",,,,
360,MERENDINE CON MARMELLATA,100,"19,7",359,1502,"5,5","3,8","1,7","8,3","7,9","0,4","2,45","2,95","3,25","1,06","0,05","0,06","1,17",188,"69,8","23,3","46,5",1,0,"0,8",11,130,98,55,"0,7","0,07","0,17","0,3",0,"0,05",13,79,74,29,"0,73","0,5",,,,
361,MERENDINE FARCITE,100,"14,2",414,1732,"6,2","4,3","1,9","15,1","14,5","0,6","5,51","3,4","6,53","0,75","0,02","1,43","2,2",152,"67,6","21,9","45,7",1,0,"1,8",17,350,180,172,"0,7","0,09","0,12","0,5",0,"0,06",10,311,275,215,"2,83","2,61",,,,
362,MERENDINE NON FARCITE,100,13,463,1937,"8,3","4,5","3,8","22,3","15,6","6,7","8,14","5,01","9,38","1,1","0,03","2,11","3,25",128,"60,9",40,"20,9","2,5",0,"1,3",10,350,103,117,"0,7","0,09","0,12","0,5",0,"0,06",10,280,262,96,"2,83","2,61",,,,
363,MERINGA,100,"2,2",379,1586,"5,3","5,3",0,0,0,0,0,0,0,0,0,0,0,0,"95,4",0,"95,4",0,0,"0,1",4,110,90,19,"0,2",0,"0,24","0,1",0,"0,01",6,0,0,0,0,0,,,,
364,MERLUZZO,76,"81,5",71,297,17,17,0,"0,3","0,3",0,"0,06","0,02","0,07",0,0,"0,12","0,12",50,0,0,0,0,0,"0,7",25,77,320,194,"0,4","0,05","0,08","2,2",0,"0,18",12,0,0,0,"0,19",0,,,,
365,MIELE,100,18,303,1268,"0,6",0,"0,6",0,0,0,0,0,0,0,0,0,0,0,"80,3",0,"80,3",0,0,"0,5",5,11,51,6,"0,9",0,"0,04","0,3",1,"0,02",2,0,0,0,0,0,,,,
366,MIRTILLO NERO,98,"85,9",30,126,"0,6",0,"0,6","0,2",0,"0,2","0,02","0,03","0,03","0,05","0,04",0,"0,09",0,"6,9",0,"6,9","2,5",0,"0,5",12,3,88,14,"0,2","0,03","0,03","0,4",17,"0,05",6,5,0,30,1,0,,,,
367,MISO,100,"42,9",203,849,"13,3",0,"13,3","6,2",0,"6,2","0,89","1,35","1,36","3,07","0,41",0,"3,48",0,"23,5",0,0,"5,4",0,"4,2",73,3650,160,160,"3,3","0,08","0,19","1,1",0,"0,21",33,9,0,54,"0,01",0,,,,
