Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
m49,Europe,rural,Drinking water,2002,18.54061,38515557.87509,Basic service
m49,Europe,urban,Drinking water,2002,4.65343,24103040.32674,Basic service
m49,Europe,total,Drinking water,2002,0.37007,2685559.95544,Limited service
m49,Europe,rural,Drinking water,2002,0.69935,1452795.45956,Limited service
m49,Europe,urban,Drinking water,2002,0.238,1232764.5096,Limited service
m49,Europe,total,Drinking water,2002,89.63318,650466822.64606,Safely managed service
m49,Europe,rural,Drinking water,2002,76.9293,159809976.78159,Safely managed service
m49,Europe,urban,Drinking water,2002,94.72825,490656847.21652,Safely managed service
m49,Europe,total,Drinking water,2002,0.1927,1398397.30676,Surface water
m49,Europe,rural,Drinking water,2002,0.55721,1157519.97221,Surface water
m49,Europe,urban,Drinking water,2002,0.0465,240877.34593,Surface water
m49,Europe,total,Drinking water,2002,1.17532,8529301.16883,Unimproved
m49,Europe,rural,Drinking water,2002,3.27354,6800316.96116,Unimproved
m49,Europe,urban,Drinking water,2002,0.3338,1728982.7566,Unimproved
m49,Europe,total,Sanitation,2003,23.43278,170243865.40111,Basic service
m49,Europe,rural,Sanitation,2003,42.59319,87991538.23923,Basic service
m49,Europe,urban,Sanitation,2003,22.8867,118995764.06287,Basic service
m49,Europe,total,Sanitation,2003,1.00215,7280802.13851,Limited service
m49,Europe,rural,Sanitation,2003,1.071,2212537.22261,Limited service
m49,Europe,urban,Sanitation,2003,0.97479,5068264.92505,Limited service
m49,Europe,total,Sanitation,2003,0.01889,137275.14324,Open defecation
m49,Europe,rural,Sanitation,2003,0.05317,109837.88748,Open defecation
m49,Europe,urban,Sanitation,2003,0.00528,27437.25654,Open defecation
m49,Europe,total,Sanitation,2003,70.76727,514138492.51776,Safely managed service
m49,Europe,rural,Sanitation,2003,43.96114,90817528.47012,Safely managed service
m49,Europe,urban,Sanitation,2003,74.35124,386577527.68329,Safely managed service
m49,Europe,total,Sanitation,2003,4.77891,34719718.79866,Unimproved
m49,Europe,rural,Sanitation,2003,12.3215,25454489.50656,Unimproved
m49,Europe,urban,Sanitation,2003,1.782,9265229.71472,Unimproved
m49,Europe,total,Drinking water,2003,8.52687,61949424.47394,Basic service
m49,Europe,rural,Drinking water,2003,18.43009,38073975.15435,Basic service
m49,Europe,urban,Drinking water,2003,4.59201,23875449.61758,Basic service
m49,Europe,total,Drinking water,2003,0.37174,2700788.91168,Limited service
m49,Europe,rural,Drinking water,2003,0.70072,1447581.81449,Limited service
m49,Europe,urban,Drinking water,2003,0.24103,1253207.10767,Limited service
m49,Europe,total,Drinking water,2003,89.77629,652242818.66233,Safely managed service
m49,Europe,rural,Drinking water,2003,77.14568,159372115.88416,Safely managed service
m49,Europe,urban,Drinking water,2003,94.79482,492870703.16318,Safely managed service
m49,Europe,total,Drinking water,2003,0.19165,1392400.53396,Surface water
m49,Europe,rural,Drinking water,2003,0.55783,1152402.37397,Surface water
m49,Europe,urban,Drinking water,2003,0.04616,239998.16967,Surface water
m49,Europe,total,Drinking water,2003,1.13345,8234721.41882,Unimproved
m49,Europe,rural,Drinking water,2003,3.16568,6539856.09903,Unimproved
m49,Europe,urban,Drinking water,2003,0.32598,1694865.58438,Unimproved
m49,Europe,total,Sanitation,2004,23.23039,169009156.4882,Basic service
m49,Europe,rural,Sanitation,2004,42.62332,87568453.79552,Basic service
m49,Europe,urban,Sanitation,2004,22.6406,118203722.99673,Basic service
m49,Europe,total,Sanitation,2004,0.99554,7242892.00059,Limited service
m49,Europe,rural,Sanitation,2004,1.0653,2188623.34771,Limited service
m49,Europe,urban,Sanitation,2004,0.96809,5054268.6545,Limited service
m49,Europe,total,Sanitation,2004,0.01512,110009.45164,Open defecation
m49,Europe,rural,Sanitation,2004,0.04811,98833.04986,Open defecation
m49,Europe,urban,Sanitation,2004,0.00214,11176.40216,Open defecation
m49,Europe,total,Sanitation,2004,71.11396,517378763.96583,Safely managed service
m49,Europe,rural,Sanitation,2004,44.22554,90860166.7031,Safely managed service
m49,Europe,urban,Sanitation,2004,74.65331,389755576.80369,Safely managed service
m49,Europe,total,Sanitation,2004,4.64499,33793891.59374,Unimproved
m49,Europe,rural,Sanitation,2004,12.03773,24731195.26501,Unimproved
m49,Europe,urban,Sanitation,2004,1.73586,9062699.99263,Unimproved
m49,Europe,total,Drinking water,2004,8.1952,59622894.94853,Basic service
m49,Europe,rural,Drinking water,2004,17.5566,36069561.71839,Basic service
m49,Europe,urban,Drinking water,2004,4.51138,23553333.41587,Basic service
m49,Europe,total,Drinking water,2004,0.41104,2990479.50405,Limited service
m49,Europe,rural,Drinking water,2004,0.70209,1442419.65515,Limited service
m49,Europe,urban,Drinking water,2004,0.29651,1548059.85498,Limited service
m49,Europe,total,Drinking water,2004,90.11181,655594701.74335,Safely managed service
m49,Europe,rural,Drinking water,2004,78.12616,160508074.41056,Safely managed service
m49,Europe,urban,Drinking water,2004,94.8283,495086627.0891,Safely managed service
m49,Europe,total,Drinking water,2004,0.19059,1386636.41182,Surface water
m49,Europe,rural,Drinking water,2004,0.55847,1147366.38821,Surface water
m49,Europe,urban,Drinking water,2004,0.04583,239270.03108,Surface water
m49,Europe,total,Drinking water,2004,1.09136,7940000.89153,Unimproved
m49,Europe,rural,Drinking water,2004,3.05667,6279849.9891,Unimproved
m49,Europe,urban,Drinking water,2004,0.31798,1660154.45866,Unimproved
m49,Europe,total,Sanitation,2005,23.00197,167608823.92901,Basic service
m49,Europe,rural,Sanitation,2005,42.65635,87150847.4553,Basic service
m49,Europe,urban,Sanitation,2005,22.39969,117455534.45923,Basic service
m49,Europe,total,Sanitation,2005,0.98563,7181970.79506,Limited service
m49,Europe,rural,Sanitation,2005,1.05384,2153093.82966,Limited service
m49,Europe,urban,Sanitation,2005,0.95905,5028877.03936,Limited service
m49,Europe,total,Sanitation,2005,0.01344,97911.2751,Open defecation
m49,Europe,rural,Sanitation,2005,0.04286,87565.18381,Open defecation
m49,Europe,urban,Sanitation,2005,0.00197,10346.09231,Open defecation
m49,Europe,total,Sanitation,2005,71.48916,520921116.64646,Safely managed service
m49,Europe,rural,Sanitation,2005,44.49389,90905101.62917,Safely managed service
m49,Europe,urban,Sanitation,2005,74.9517,393018464.14645,Safely managed service
m49,Europe,total,Sanitation,2005,4.50981,32861675.15364,Unimproved
m49,Europe,rural,Sanitation,2005,11.75306,24012573.72956,Unimproved
m49,Europe,urban,Sanitation,2005,1.68759,8849100.98455,Unimproved
m49,Europe,total,Drinking water,2005,7.78265,56709916.43063,Basic service
m49,Europe,rural,Drinking water,2005,16.57668,33867686.90456,Basic service
m49,Europe,urban,Drinking water,2005,4.35619,22842230.08041,Basic service
m49,Europe,total,Drinking water,2005,0.40931,2982520.13408,Limited service
m49,Europe,rural,Drinking water,2005,0.6307,1288568.18844,Limited service
m49,Europe,urban,Drinking water,2005,0.32305,1693951.97545,Limited service
m49,Europe,total,Drinking water,2005,90.63228,660411607.49098,Safely managed service
m49,Europe,rural,Drinking water,2005,79.50795,162442039.36581,Safely managed service
m49,Europe,urban,Drinking water,2005,94.9667,497969574.96301,Safely managed service
m49,Europe,total,Drinking water,2005,0.16206,1180909.50832,Surface water
m49,Europe,rural,Drinking water,2005,0.47468,969817.81396,Surface water
m49,Europe,urban,Drinking water,2005,0.04026,211091.70547,Surface water
m49,Europe,total,Drinking water,2005,1.0137,7386544.23599,Unimproved
m49,Europe,rural,Drinking water,2005,2.80999,5741069.55493,Unimproved
m49,Europe,urban,Drinking water,2005,0.3138,1645473.99756,Unimproved
m49,Europe,total,Sanitation,2006,22.83898,166849415.48738,Basic service
m49,Europe,rural,Sanitation,2006,42.79915,87064389.09081,Basic service
m49,Europe,urban,Sanitation,2006,22.2219,117136370.16053,Basic service
m49,Europe,total,Sanitation,2006,0.97743,7140592.47866,Limited service
m49,Europe,rural,Sanitation,2006,1.04484,2125463.95247,Limited service
m49,Europe,urban,Sanitation,2006,0.95142,5015128.52297,Limited service
m49,Europe,total,Sanitation,2006,0.01191,86972.20224,Open defecation
m49,Europe,rural,Sanitation,2006,0.03788,77054.66442,Open defecation
m49,Europe,urban,Sanitation,2006,0.00188,9917.53748,Open defecation
m49,Europe,total,Sanitation,2006,71.81633,524651965.81151,Safely managed service
m49,Europe,rural,Sanitation,2006,44.71922,90970305.99197,Safely managed service
m49,Europe,urban,Sanitation,2006,75.18768,396330315.97097,Safely managed service
m49,Europe,total,Sanitation,2006,4.35536,31817909.92093,Unimproved
m49,Europe,rural,Sanitation,2006,11.39892,23188312.90043,Unimproved
m49,Europe,urban,Sanitation,2006,1.63712,8629600.05005,Unimproved
m49,Europe,total,Drinking water,2006,7.47059,54576172.88741,Basic service
m49,Europe,rural,Drinking water,2006,15.73182,32002533.1548,Basic service
m49,Europe,urban,Drinking water,2006,4.28244,22573639.58935,Basic service
m49,Europe,total,Drinking water,2006,0.44081,3220330.13243,Limited service
m49,Europe,rural,Drinking water,2006,0.62988,1281331.28037,Limited service
m49,Europe,urban,Drinking water,2006,0.36785,1938998.84787,Limited service
m49,Europe,total,Drinking water,2006,90.95022,664433951.87542,Safely managed service
m49,Europe,rural,Drinking water,2006,80.44835,163652472.33985,Safely managed service
m49,Europe,urban,Drinking water,2006,95.00308,500781479.51099,Safely managed service
m49,Europe,total,Drinking water,2006,0.16116,1177375.88442,Surface water
m49,Europe,rural,Drinking water,2006,0.47492,966100.78747,Surface water
m49,Europe,urban,Drinking water,2006,0.04008,211275.0916,Surface water
m49,Europe,total,Drinking water,2006,0.97722,7139025.12033,Unimproved
m49,Europe,rural,Drinking water,2006,2.71504,5523089.0374,Unimproved
m49,Europe,urban,Drinking water,2006,0.30656,1615939.20166,Unimproved
m49,Europe,total,Sanitation,2007,22.63681,165687541.60592,Basic service
m49,Europe,rural,Sanitation,2007,42.89288,86794748.30614,Basic service
m49,Europe,urban,Sanitation,2007,21.9921,116467113.42168,Basic service
m49,Europe,total,Sanitation,2007,0.96768,7082854.90336,Limited service
m49,Europe,rural,Sanitation,2007,1.03414,2092597.68131,Limited service
m49,Europe,urban,Sanitation,2007,0.94229,4990257.24399,Limited service
m49,Europe,total,Sanitation,2007,0.01027,75170.70081,Open defecation
m49,Europe,rural,Sanitation,2007,0.03269,66155.21175,Open defecation
m49,Europe,urban,Sanitation,2007,0.0017,9015.48915,Open defecation
m49,Europe,total,Sanitation,2007,72.183,528335221.49317,Safely managed service
m49,Europe,rural,Sanitation,2007,44.99027,91038851.70676,Safely managed service
m49,Europe,urban,Sanitation,2007,75.47818,399722051.85025,Safely managed service
m49,Europe,total,Sanitation,2007,4.20223,30757773.79674,Unimproved
m49,Europe,rural,Sanitation,2007,11.05002,22359975.21903,Unimproved
m49,Europe,urban,Sanitation,2007,1.58573,8397798.8584,Unimproved
m49,Europe,total,Drinking water,2007,7.16208,52422030.34354,Basic service
m49,Europe,rural,Drinking water,2007,14.87996,30109941.92732,Basic service
m49,Europe,urban,Drinking water,2007,4.21312,22312088.53017,Basic service
m49,Europe,total,Drinking water,2007,0.46977,3438406.36634,Limited service
m49,Europe,rural,Drinking water,2007,0.62705,1268844.15093,Limited service
m49,Europe,urban,Drinking water,2007,0.40967,2169562.2254,Limited service
m49,Europe,total,Drinking water,2007,91.26716,668019539.45166,Safely managed service
m49,Europe,rural,Drinking water,2007,81.39833,164711410.34029,Safely managed service
m49,Europe,urban,Drinking water,2007,95.03799,503308131.23559,Safely managed service
m49,Europe,total,Drinking water,2007,0.1603,1173282.53291,Surface water
m49,Europe,rural,Drinking water,2007,0.47567,962529.34449,Surface water
m49,Europe,urban,Drinking water,2007,0.0398,210753.1898,Surface water
m49,Europe,total,Drinking water,2007,0.94069,6885303.80628,Unimproved
m49,Europe,rural,Drinking water,2007,2.619,5299602.36197,Unimproved
m49,Europe,urban,Drinking water,2007,0.29942,1585701.68357,Unimproved
m49,Europe,total,Sanitation,2008,22.43279,164525804.43206,Basic service
m49,Europe,rural,Sanitation,2008,42.97502,86508340.76969,Basic service
m49,Europe,urban,Sanitation,2008,21.76154,115796959.29094,Basic service
m49,Europe,total,Sanitation,2008,0.9581,7026838.59957,Limited service
m49,Europe,rural,Sanitation,2008,1.02389,2061083.45523,Limited service
m49,Europe,urban,Sanitation,2008,0.93321,4965755.1018,Limited service
m49,Europe,total,Sanitation,2008,0.00867,63617.99712,Open defecation
m49,Europe,rural,Sanitation,2008,0.02758,55527.69625,Open defecation
m49,Europe,urban,Sanitation,2008,0.00152,8090.30091,Open defecation
m49,Europe,total,Sanitation,2008,72.54857,532083150.48614,Safely managed service
m49,Europe,rural,Sanitation,2008,45.26956,91127222.65658,Safely managed service
m49,Europe,urban,Sanitation,2008,75.76833,403176427.57535,Safely managed service
m49,Europe,total,Sanitation,2008,4.05187,29717079.38585,Unimproved
m49,Europe,rural,Sanitation,2008,10.70394,21546938.48495,Unimproved
m49,Europe,urban,Sanitation,2008,1.5354,8170145.92599,Unimproved
m49,Europe,total,Drinking water,2008,6.85945,50308350.57066,Basic service
m49,Europe,rural,Drinking water,2008,14.03098,28244240.36997,Basic service
m49,Europe,urban,Drinking water,2008,4.14647,22064110.13155,Basic service
m49,Europe,total,Drinking water,2008,0.50144,3677663.43808,Limited service
